fef3db39-4842-409b-900a-e9de6b84ddf9,PRIVATE,My description for a talk 69EPNQBBC2,talk,My talk title GHM4WIZ,CHAT,dfe1f404-653b-44a0-86b1-5d10041d67b3
fef3db39-4842-409b-900a-e9de6b84ddf9,PRIVATE,My description for a talk HDI8RIBQCD,talk,My talk title U84KI68,CHAT,848157db-7b43-43d6-984c-cc0547b9886a
da730daf-3be5-42a9-84e8-98c00c3510c6,PRIVATE,My description for a talk JHLLTGAH82,talk,My talk title Y9I8WSB,CHAT,9ef8f9a9-113d-4e79-9728-403b8359da4f
da730daf-3be5-42a9-84e8-98c00c3510c6,PRIVATE,My description for a talk GICM46VOFJ,talk,My talk title D0B5PKQ,CHAT,a7397ab0-9aca-4e9a-b7e2-216d0b82cf67
ff83084e-dca6-4fdd-8ef0-6da1c11de958,PRIVATE,My description for a talk ZM9AHGDJQS,talk,My talk title 2P6X8C1,CHAT,77fecbc3-291e-48da-9ba2-e425c9cab3b0
ff83084e-dca6-4fdd-8ef0-6da1c11de958,PRIVATE,My description for a talk 1PLROXI53W,talk,My talk title 9NIWLWK,CHAT,c1b763ca-5be9-4d00-ac35-9d9ab45254ff
ebbb031b-20d0-4ded-97f7-cc61e6da69f8,PRIVATE,My description for a talk 0NUWV97TG9,talk,My talk title 46IPU9B,CHAT,8340daec-4960-4da0-ab6f-db9c25a9db62
ebbb031b-20d0-4ded-97f7-cc61e6da69f8,PRIVATE,My description for a talk A7VDJ6QO47,talk,My talk title XHCDKX1,CHAT,097c52ba-0c20-46b4-891a-26c54e5af82b
401420dd-05c0-440e-a125-64f83d515fb6,PRIVATE,My description for a talk KCBFRQZ4N9,talk,My talk title ARFL7IG,CHAT,5551a233-40bb-4186-ad33-1da1826a607f
401420dd-05c0-440e-a125-64f83d515fb6,PRIVATE,My description for a talk 0SZ4XJWAKY,talk,My talk title FHHLTLR,CHAT,202cc4d1-b200-4ea3-a33b-b0f5762536ea
38f44ed8-9431-41c5-ae68-c01b0cfacad6,PRIVATE,My description for a talk FDLLREZT0M,talk,My talk title 6H9JM03,CHAT,bc10ea16-556b-474b-ae35-c9541519f625
38f44ed8-9431-41c5-ae68-c01b0cfacad6,PRIVATE,My description for a talk 95HUH4IESW,talk,My talk title 0BFVR4S,CHAT,314ccf0e-ee11-408b-8a97-77d26eca2e0c
409e94e1-c104-4898-b989-10d2e585b190,PRIVATE,My description for a talk 2AT34MW3AC,talk,My talk title ICR1WTW,CHAT,8c607846-ce3e-423f-ae23-4fbb5d402ed6
409e94e1-c104-4898-b989-10d2e585b190,PRIVATE,My description for a talk TSYWSNIQ9K,talk,My talk title N4NNZCB,CHAT,0ca61aa4-d514-44f6-9456-2d994d52911b
cd8e9fd5-68d7-4a85-a427-cc3264fbea1d,PRIVATE,My description for a talk 1A29R6K82S,talk,My talk title HH9G62M,CHAT,c9a540da-3801-43ed-a784-53e1a39ffb0d
cd8e9fd5-68d7-4a85-a427-cc3264fbea1d,PRIVATE,My description for a talk HG48MSR3XC,talk,My talk title 46NU6Y5,CHAT,6ba8e2d1-f213-48e4-9a6a-2887bbd948f1
cb8429b4-71c6-43c7-9e50-d71805ede9fc,PRIVATE,My description for a talk SOR9UYOT6Z,talk,My talk title OL1K0WA,CHAT,9240a0e5-b519-4c4c-8f0a-f3ece37ea7c0
cb8429b4-71c6-43c7-9e50-d71805ede9fc,PRIVATE,My description for a talk 7HAOFMH5CV,talk,My talk title V8VSMFH,CHAT,96826de5-4727-487c-a027-117f63d89ad4
905e1b82-0b3d-4984-95c2-0dffc2a0a2a7,PRIVATE,My description for a talk PZ6LLTVRJ5,talk,My talk title ZMP53UU,CHAT,b60f797a-fce8-40c2-bc65-9713e6b1bcd6
905e1b82-0b3d-4984-95c2-0dffc2a0a2a7,PRIVATE,My description for a talk Q9LTF994RR,talk,My talk title CPA7269,CHAT,67d7a2a7-6d8e-4479-834e-ff944341c755
25feb458-fcce-4565-bd48-7794ab2f6ce2,PRIVATE,My description for a talk KF0X39S7V1,talk,My talk title P2JKZOO,CHAT,716dad02-e6d2-43f0-8941-4eab22ab00fd
25feb458-fcce-4565-bd48-7794ab2f6ce2,PRIVATE,My description for a talk S5A5INKMFQ,talk,My talk title IGPCDEK,CHAT,14002a7c-2346-4853-9957-fdb300ba3c1e
6469a8d1-8122-45ea-a4b8-d4ff04e9a7de,PRIVATE,My description for a talk T99XPGYP5K,talk,My talk title 61CNV9M,CHAT,ffc16e78-48fe-45df-bead-f5b403655ecc
